AuthorID,affiliatedTo
0,1
1398898706,15
1401955808,15
1402174649,15
143618545,15
143674122,15
143686063,15
143705933,15
143884808,15
144393525,15
144411609,15
144459059,15
144493957,15
144522278,15
144542337,15
144784887,15
144803915,15
144815274,15
145099546,15
145163962,15
145171183,15
145655060,15
145849830,15
145874475,15
145931242,15
150077996,15
1683380,15
1684311,15
1691726,15
1699645,15
1714772,15
1720768298,15
1731634,15
1766762,15
1772846,15
1809105,15
1854231,15
1925137,15
1975399961,15
2025139,15
2040875,15
2055338506,15
2057101643,15
2057265155,15
2058860740,15
2076274724,15
2097888,15
2107136650,15
2109349510,15
2109465325,15
2112671943,15
2115765449,15
2115790916,15
2116708521,15
2127420730,15
2137696,15
2144218,15
2144552,15
2156838,15
2157804477,15
2216140,15
2230211,15
2346764,15
2371796,15
2399902,15
2505506,15
2522342,15
2598914,15
2627414,15
2673198,15
2755877,15
3007503,15
3023298,15
3050409,15
3122044,15
3160299,15
32131868,15
3321484,15
3329297,15
33938985,15
35031263,15
35964920,15
36774095,15
37344416,15
38120112,15
38925513,15
39475807,15
40298218,15
40418089,15
40868287,15
4092162,15
4335386,15
46197387,15
46200625,15
47194948,15
47583223,15
47781590,15
48183975,15
48366132,15
48619281,15
48774559,15
49981131,15
50085261,15
5106561,15
52373901,15
6100169,15
6214143,15
8416372,15
9162446,15
92839316,15
98661254,15
1683380,16
1777206,18
10969147,19
116003860,19
11843441,19
1396461326,19
1407623575,19
143912557,19
143972138,19
144113005,19
144314009,19
145062422,19
145697706,19
145933555,19
151476933,19
16870859,19
1697386,19
1727801,19
1746492,19
1748051,19
1762744,19
1764443,19
1770007,19
1780110,19
1781188,19
1789477,19
1790301,19
1800425,19
1810665,19
1860011,19
1946779,19
2055412556,19
2076198688,19
2084801,19
20935445,19
2099799800,19
2110746719,19
2144329570,19
2151253148,19
2210169,19
2305444,19
2339943,19
2465976,19
2480475,19
2489024,19
2594026,19
2624076,19
26701145,19
2739823,19
2767150,19
2805147,19
2810613,19
2862682,19
2866369,19
2953342,19
2989580,19
3062547,19
3087910,19
3123432,19
31693932,19
3249018,19
3288423,19
34047922,19
34780875,19
34915378,19
36153647,19
39451362,19
40950555,19
4599641,19
47977519,19
48804780,19
49604049,19
49660382,19
52162164,19
6425362,19
70422141,19
71294292,19
7237690,19
100860490,21
123170618,21
1398124880,21
1398612846,21
1403239539,21
1404620559,21
1422109976,21
143861012,21
143905842,21
143937624,21
144214648,21
144364863,21
145217855,21
145293605,21
145405279,21
145870936,21
152989638,21
1711810,21
1712683,21
1746947,21
1784797,21
19188698,21
2073154756,21
2116899991,21
2138274,21
2335028,21
2531545,21
2990855,21
31747959,21
32045772,21
3440226,21
38450892,21
39693907,21
40357799,21
40663300,21
7344531,21
102585725,22
102835140,22
104308183,22
11176448,22
113407333,22
117594543,22
120143814,22
12069154,22
12573256,22
1383994527,22
1388372395,22
1388574431,22
1390019127,22
1403827167,22
143663873,22
143791812,22
143828189,22
143840725,22
143920486,22
144041798,22
144213877,22
144246983,22
144251783,22
144310910,22
144334554,22
144411063,22
144418842,22
144487543,22
144609496,22
144778782,22
144848951,22
144913176,22
144988242,22
145167842,22
145259603,22
145306271,22
145369890,22
145394421,22
145445634,22
145596681,22
145598301,22
145720083,22
145762466,22
145783676,22
145793875,22
145799626,22
145803757,22
145852650,22
145920634,22
145926263,22
152290299,22
152397685,22
152423211,22
15467618,22
1678809,22
1679011,22
1680968,22
1683032,22
1690604,22
1698540,22
1700971,22
1704531,22
1707867,22
1707966,22
1708052,22
1708961,22
1711104,22
1712514,22
1716393,22
1721991,22
1731402,22
1733840,22
1740397,22
1744700,22
1745672,22
1746815,22
1756344,22
1757902,22
1763043,22
1764249,22
1779317,22
1781325,22
1781916,22
1784015,22
1784491,22
1785765,22
1790269,22
1797591,22
1804582,22
1806134,22
1831395,22
1841174,22
1854466,22
1858054,22
1890119,22
1905330,22
1922796,22
1943162,22
1946526,22
1951816,22
2010050,22
2028945,22
2043215,22
2052690351,22
2055745260,22
2057142296,22
2057802095,22
2058510633,22
2059241395,22
2061654177,22
2068755885,22
2070388447,22
2071486805,22
2099539780,22
2107366313,22
2107421195,22
2107729372,22
2107797377,22
2107803253,22
2108996437,22
2110594592,22
2111087303,22
2111774948,22
2111916437,22
2114510,22
2148786644,22
2149814967,22
2152311849,22
2153683550,22
2161090,22
2167293,22
2294095,22
2353941,22
2353960,22
2389090,22
2541662,22
2611339,22
2616631,22
2617704,22
2619693,22
2658929,22
2671846,22
2681954,22
2691960,22
2720455,22
2759475,22
2788351,22
2909048,22
2948620,22
3064190,22
3098747,22
3102860,22
3104574,22
3122982,22
3157310,22
3163053,22
31755529,22
31756066,22
3185613,22
32121425,22
32179171,22
3238812,22
3252290,22
3261005,22
32720065,22
3277575,22
3283682,22
33171556,22
3332113,22
3431294,22
3439085,22
34399452,22
34567297,22
34653454,22
34795932,22
34850697,22
34941108,22
35059363,22
35110364,22
35841982,22
36374550,22
3655575,22
3663655,22
36675354,22
3676367,22
37580398,22
3773444,22
38089959,22
38109064,22
38290522,22
3853990,22
3886327,22
3918525,22
39443691,22
39509434,22
40268570,22
41075062,22
4406821,22
4408318,22
4554640,22
46271626,22
46271665,22
4692789,22
47184411,22
47200174,22
47645184,22
47985333,22
48039551,22
48125860,22
48277862,22
48864075,22
49110294,22
49645295,22
5140398,22
5157171,22
5678528,22
5780605,22
6374933,22
65793650,22
6903801,22
70995592,22
7763818,22
77845360,22
83731091,22
84369054,22
8976045,22
93904962,22
96927051,22
97930679,22
98775604,22
9897094,22
113727802,25
118022961,25
120874496,25
1397409008,25
1398977716,25
13996924,25
1401879614,25
1403861338,25
143625081,25
143727794,25
143835856,25
143860557,25
143998070,25
144003733,25
144014548,25
144024640,25
144098326,25
144154378,25
144161908,25
144208693,25
144283205,25
144358696,25
144383784,25
144586851,25
144593034,25
144628431,25
144688244,25
144830705,25
144873803,25
145006560,25
145086151,25
145097462,25
145153424,25
145316509,25
145609133,25
145645853,25
145726861,25
145838359,25
145880785,25
145927985,25
1502861493,25
15237097,25
153362992,25
153567152,25
1693598,25
1694368,25
1694831,25
1699569,25
1708601,25
1716687,25
1737063,25
1738196,25
1740394,25
1741299,25
1746214,25
1756516,25
1757762,25
1789339,25
1795436,25
1796908,25
1845021,25
1868668,25
1946580,25
1963276,25
1971788,25
1977697,25
1999669346,25
2033202,25
2044145,25
2049740,25
2050260,25
2054134027,25
2064545661,25
2064610807,25
2070071473,25
2071843812,25
2075370087,25
2087113631,25
2097972619,25
2107956568,25
2108326901,25
2108714551,25
2109120364,25
2110460783,25
2115464717,25
2117230835,25
2123918,25
2128056,25
2140594906,25
2144692355,25
2145676694,25
2149050993,25
2149280,25
2150297790,25
2152132,25
2153292035,25
2158583794,25
2166779,25
2179732,25
2182009,25
2243708,25
2252851,25
2258168,25
2262946,25
2274160,25
2346590,25
2349798,25
2387097,25
2397256,25
2515605,25
2554943,25
2585822,25
2601919,25
2611527,25
2635224,25
2656437,25
2659620,25
2711839,25
2905900,25
2977482,25
2999017,25
3013441,25
3026075,25
3028496,25
3075403,25
3080678,25
3107715,25
3135884,25
3155819,25
3211503,25
3223699,25
3232557,25
3235249,25
3242427,25
3252664,25
3279394,25
3291176,25
33435139,25
3344443,25
33879457,25
34188645,25
34288854,25
34683223,25
34786714,25
35122686,25
35137438,25
3594527,25
3619258,25
3842926,25
39476433,25
3953944,25
39775017,25
40114772,25
40446448,25
40636503,25
4138005,25
4256072,25
4536508,25
4572336,25
46530491,25
46622514,25
47087417,25
4733044,25
4756395,25
4756672,25
47608022,25
47988386,25
48559613,25
49159055,25
49498848,25
50362056,25
50668335,25
5375445,25
5632967,25
6021032,25
6053686,25
6214088,25
6441670,25
6713310,25
6732085,25
6752318,25
6839477,25
6982115,25
70088928,25
7240083,25
80885053,25
81638812,25
8424030,25
8968368,25
98591628,25
102471553,26
102741716,26
121473402,26
1390002216,26
1392263727,26
1397864627,26
1398965769,26
143742406,26
143767406,26
143942875,26
144105017,26
144160673,26
144261789,26
144288558,26
144347078,26
144351514,26
144363416,26
144409391,26
144508346,26
144696890,26
144751617,26
144753114,26
144756842,26
144764532,26
144965905,26
145056447,26
145135018,26
145174131,26
145179170,26
145297860,26
145343196,26
145349937,26
145391899,26
145854440,26
145909787,26
145937851,26
145964718,26
145973933,26
150053554,26
152569576,26
153485128,26
16399343,26
1680805,26
1686007,26
1686891,26
1690922,26
1691239,26
1695784,26
1697584,26
1697920,26
1702201,26
1713997,26
17141020,26
1716096,26
1719261,26
1723150,26
1728994,26
1735580,26
1736279,26
1737048,26
1739434,26
1740159,26
1745777,26
1746700,26
1747278,26
1749133,26
1756109,26
1766489,26
1775570,26
1781507,26
1781695,26
1782162,26
1784201,26
1785542,26
1789036,26
1789387,26
1795099,26
1795620,26
1798277,26
1801338,26
1804377,26
1807495,26
1808359,26
18575373,26
1864095,26
1904850,26
1980481,26
1982554,26
2002004,26
2028100729,26
2053087,26
2057062180,26
2059936514,26
2060415909,26
2060858809,26
2065443390,26
2066037152,26
20713590,26
2075518224,26
2084589596,26
2085657385,26
2092058913,26
2100520,26
